Perfil_N;Pico_1_detrend;Pico_2_detrend;Media_Z_detrend;MPD_Perfil
1;0.355027;0.358816;-0.000000;0.356922
2;0.422824;0.285926;0.000000;0.354375
3;0.383787;0.274972;0.000000;0.329379
4;0.342685;0.259528;-0.000000;0.301107
5;0.278021;0.269775;-0.000000;0.273898
6;0.266151;0.303531;0.000000;0.284841
7;0.303514;0.349111;-0.000000;0.326313
8;0.265075;0.438101;0.000000;0.351588
9;0.260396;0.412611;-0.000000;0.336503
10;0.261798;0.517558;-0.000000;0.389678
11;0.277358;0.557229;-0.000000;0.417294
12;0.339077;0.455406;-0.000000;0.397241
13;0.365277;0.491053;-0.000000;0.428165
14;0.373327;0.440188;-0.000000;0.406758
15;0.433879;0.463393;-0.000000;0.448636
16;0.501134;0.450381;-0.000000;0.475757
17;0.515546;0.526154;0.000000;0.520850
18;0.413501;0.493852;0.000000;0.453676
19;0.334967;0.477533;-0.000000;0.406250
20;0.413186;0.506309;-0.000000;0.459748
21;0.470515;0.578047;-0.000000;0.524281
22;0.440873;0.558107;0.000000;0.499490
23;0.399017;0.552716;-0.000000;0.475866
24;0.386317;0.491292;0.000000;0.438805
25;0.341199;0.462872;0.000000;0.402035
26;0.392715;0.432316;0.000000;0.412515
27;0.441423;0.461221;-0.000000;0.451322
28;0.455087;0.378750;-0.000000;0.416918
29;0.397282;0.578659;0.000000;0.487970
30;0.335423;0.578663;-0.000000;0.457043
31;0.335505;0.348880;-0.000000;0.342193
32;0.345198;0.448360;-0.000000;0.396779
33;0.318412;0.429525;-0.000000;0.373968
34;0.312028;0.364591;-0.000000;0.338310
35;0.300787;0.293433;0.000000;0.297110
36;0.342588;0.268227;0.000000;0.305408
37;0.342125;0.272465;-0.000000;0.307295
38;0.528087;0.239302;0.000000;0.383694
39;0.540678;0.304876;-0.000000;0.422777
40;0.457151;0.378969;-0.000000;0.418060
41;0.371714;0.367364;-0.000000;0.369539
42;0.284430;0.292324;-0.000000;0.288377
43;0.285014;0.281136;0.000000;0.283075
44;0.431793;0.345323;0.000000;0.388558
45;0.429581;0.374907;-0.000000;0.402244
46;0.329970;0.393446;-0.000000;0.361708
47;0.328500;0.422737;0.000000;0.375618
48;0.373167;0.432610;-0.000000;0.402889
49;0.410095;0.492795;-0.000000;0.451445
50;0.433882;0.448486;0.000000;0.441184
51;0.346317;0.416991;-0.000000;0.381654
52;0.282502;0.371168;0.000000;0.326835
53;0.339126;0.347032;0.000000;0.343079
54;0.351298;0.323280;0.000000;0.337289
55;0.408595;0.360752;-0.000000;0.384673
56;0.417318;0.337382;0.000000;0.377350
